link	id	title	author	nsfw	genre	size	tags	images	text	rating	timestamp	price	manifest_info
https://gcook19.itch.io/self-aid-arcade	584598	Self Aid Arcade	G119	-	-	107 MB	Arcade, Archery, exercise, fitness, infinite-runner, Oculus Quest, Oculus Rift, Virtual Reality (VR)	https://img.itch.zone/aW1nLzM3MTE2MTYuanBn/315x250%23c/9MaEw%2F.jpg,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzIucG5n/347x500/dP6dwY.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzMucG5n/347x500/oWS1k3.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzQucG5n/347x500/qKyAL7.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzUucG5n/347x500/1S2rsV.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzcucG5n/347x500/qbX5NH.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzgucG5n/347x500/oaTfUk.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1MzYucG5n/347x500/m6YMB1.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1NDEucG5n/347x500/6DmK6V.png,https://img.itch.zone/aW1hZ2UvNTg0NTk4LzM1NTk1NDAucG5n/347x500/7Wj6M1.png	VR FITNESS!!!!	-	1594647900	-	gear,head
https://fabetune.itch.io/virtual-coaster	583724	Virtual Coaster for Oculus Quest	fabetune	-	Simulation	32 MB	coaster, Oculus Quest, rollercoaster, Singleplayer, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwODE2NjMucG5n/315x250%23c/wFT41w.png,https://img.itch.zone/aW1nLzMwODE2NjMucG5n/347x500/vCJGhA.png	A rollercoaster game for the Oculus Quest.	-	1586132700	-	gear,head,hands
https://chesstar.itch.io/neon-sprint	575358	Neon Sprint (Oculus Quest VR)	Chesstar Studios	-	Racing	181 MB	Oculus Quest, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMxMDU0MjIuanBn/315x250%23c/UIJr0Y.jpg,https://img.itch.zone/aW1hZ2UvNTc1MzU4LzMwMjc0MjcuanBn/347x500/%2BLXAG4.jpg,https://img.itch.zone/aW1hZ2UvNTc1MzU4LzMwMjc0MjYuanBn/347x500/3OOjAD.jpg,https://img.itch.zone/aW1hZ2UvNTc1MzU4LzMwMjc0MjUuanBn/347x500/Y5xf%2F2.jpg,https://img.itch.zone/aW1hZ2UvNTc1MzU4LzMwMjc0MjQuanBn/347x500/O%2Fm5as.jpg	Crazy animal VR riding parkour game. Feel the thrill of sprinting!	5.0,1	1584336240	$4.19	-
https://mostation.itch.io/slashmates	581100	SlashMates	mostation	-	Fighting	220 MB	Multiplayer, Oculus Quest, Slasher, slashmates, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwNjA2NjQucG5n/315x250%23c/eDJT6X.png,https://img.itch.zone/aW1hZ2UvNTgxMTAwLzMwNjA1NTUuanBn/347x500/DqxmDS.jpg,https://img.itch.zone/aW1hZ2UvNTgxMTAwLzMwNjA1NTQuanBn/347x500/I6excQ.jpg,https://img.itch.zone/aW1hZ2UvNTgxMTAwLzMwNjA1NTcuanBn/347x500/L7yUXF.jpg,https://img.itch.zone/aW1hZ2UvNTgxMTAwLzMwNjA1NTkuanBn/347x500/ZZMRsM.jpg	Unique VR Combat Game	-	1583384100	$6.99	-
https://secret-isolation-games.itch.io/escape	579588	Escape!	Secret Isolation Games	-	Puzzle	91 MB	3D, escape-room, Oculus Quest, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwNTIyNjEuanBn/315x250%23c/FW1z6B.jpg,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNzIuanBn/347x500/a3g95z.jpg,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNzAuanBn/347x500/xiwjzL.jpg,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNjkuanBn/347x500/5BUJrg.jpg,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNjcucG5n/347x500/4dsuRX.png,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNjgucG5n/347x500/TF%2BCGQ.png,https://img.itch.zone/aW1hZ2UvNTc5NTg4LzMwNTIyNzUucG5n/347x500/p4eAbZ.png	Escape from fire in 30 minutes!	1.0,1	1601295720	3.99	-
https://obergonsteve.itch.io/goddess-of-the-galaxy	579639	Goddess of The Galaxy	Steve Moore	-	Simulation	21 MB	awe, chain-reaction, galaxy, goddess, oculus, Space, stars, teleport, Virtual Reality (VR), wow	https://img.itch.zone/aW1nLzMwNzEyOTkucG5n/315x250%23c/%2BGVvip.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI2OTUucG5n/347x500/s%2FI5ZB.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI1OTAucG5n/347x500/C8BRo0.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI1ODgucG5n/347x500/TxsklK.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI1ODkucG5n/347x500/dUWdtN.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI1ODcucG5n/347x500/ToJkhR.png,https://img.itch.zone/aW1hZ2UvNTc5NjM5LzMwNTI1ODYucG5n/347x500/E7zMd%2B.png	An awe-inspiring Virtual Reality experience.  Create your own Galaxy!	-	1583522580	-	gear,head
https://xocus.itch.io/fighting-clans	577965	Fighting Clans VR for Oculus Quest	xocus	-	Fighting	542 MB	Oculus Quest, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwNDMxMTgucG5n/315x250%23c/PqfWkQ.png,https://img.itch.zone/aW1hZ2UvNTc3OTY1LzMwNDMxMjAucG5n/347x500/LHrWO2.png,https://img.itch.zone/aW1hZ2UvNTc3OTY1LzMwNDMxMjEucG5n/347x500/QKYboU.png,https://img.itch.zone/aW1hZ2UvNTc3OTY1LzMwNDMxMjIucG5n/347x500/G8Shf5.png,https://img.itch.zone/aW1hZ2UvNTc3OTY1LzMwNDMxMjMucG5n/347x500/4GJEkk.png,https://img.itch.zone/aW1hZ2UvNTc3OTY1LzMwNDMxMjQucG5n/347x500/S4K2sU.png	Fighting Clans	1.0,1	1594510800	$5	-
https://victory-xr.itch.io/pteranodons-flight	576891	Pteranodon's Flight: The Flying Dinosaur Game	VictoryXR	-	Action	-	Dinosaurs, Fishing, Flight, Flying, Historical, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwNjYzNDUucG5n/315x250%23c/QHOh%2FN.png,https://img.itch.zone/aW1hZ2UvNTc2ODkxLzMwMzc2MDkucG5n/347x500/ySJh0j.png,https://img.itch.zone/aW1hZ2UvNTc2ODkxLzMwMzc2MDcucG5n/347x500/8B4JBG.png,https://img.itch.zone/aW1hZ2UvNTc2ODkxLzMwMzc2MDgucG5n/347x500/S0G7h7.png	Become a fearsome prehistoric beast in this captivating flight simulator!	1.0,1	1589387520	$3.99	-
https://victory-xr.itch.io/vr-cat-dissection-purr-fect-procedure	576825	VR Cat Dissection: Purr-fect Procedure	VictoryXR	-	Educational	-	Animals, cats, Classes, dissection, organs, surgery, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwMzYyMDkucG5n/315x250%23c/5LnIZD.png,https://img.itch.zone/aW1hZ2UvNTc2ODI1LzMwMzYyNDMuanBn/347x500/kB2B9t.jpg,https://img.itch.zone/aW1hZ2UvNTc2ODI1LzMwMzYyNDYuanBn/347x500/dLqa%2BZ.jpg,https://img.itch.zone/aW1hZ2UvNTc2ODI1LzMwMzYyNDcuanBn/347x500/iPVcsI.jpg,https://img.itch.zone/aW1hZ2UvNTc2ODI1LzMwMzYyNTAuanBn/347x500/BJxZBc.jpg	Dissect a cat in virtual reality!	-	1582723980	$9.95	-
https://victory-xr.itch.io/dogfish	576391	VR Dogfish Dissection: Diggin' the Dogfish	VictoryXR	-	Educational	-	classroom, dissection, dogfish, medical, organs, shark, Virtual Reality (VR)	https://img.itch.zone/aW1nLzMwMzM3MjUucG5n/315x250%23c/ed8%2B3y.png,https://img.itch.zone/aW1nLzMwMzM3MjUucG5n/347x500/F9UzrJ.png	Dissect a dogfish in VR!	-	1582750440	$9.95	-
